default,Identifier,Remarks,hu,it,es esm
You need the Axe Key,TXT_NEED_KEY_AXE,,Ti serve la Chiave dell'Ascia,Ti serve la Chiave dell'Ascia,Necesitas la Llave de Hacha
You need the Fire Key,TXT_NEED_KEY_FIRE,,Ti serve la Chiave del Fuoco,Ti serve la Chiave del Fuoco,Necesitas la Llave de Fuego
You need the Emerald Key,TXT_NEED_KEY_EMERALD,,Ti serve la Chiave di Smeraldo,Ti serve la Chiave di Smeraldo,Necesitas la Llave Esmeralda
You need the Dungeon Key,TXT_NEED_KEY_DUNGEON,,Ti serve la Chiave del Sotterraneo,Ti serve la Chiave del Sotterraneo,Necesitas la Llave del Calabozo
You need the Silver Key,TXT_NEED_KEY_SILVER,,Ti serve la Chiave d'Argento,Ti serve la Chiave d'Argento,Necesitas la Llave de Plata
You need the Rusted Key,TXT_NEED_KEY_RUSTED,,Ti serve la Chiave Arrugginita,Ti serve la Chiave Arrugginita,Necesitas la Llave Oxidada
You need the Horn Key,TXT_NEED_KEY_HORN,,Ti serve la Chiave del Corno,Ti serve la Chiave del Corno,Necesitas la Llave de Cuerno
You need the Swamp Key,TXT_NEED_KEY_SWAMP,,Ti serve la Chiave della Palude,Ti serve la Chiave della Palude,Necesitas la Llave del Pantano
You need the Castle Key,TXT_NEED_KEY_CASTLE,,Ti serve la Chiave del Castello,Ti serve la Chiave del Castello,Necesitas la Llave del Castillo
,,,,,
Afrit,FN_FIREDEMON,,,,
Serpent,FN_DEMON1,,Serpente del Caos,Serpente del Caos,Serpiente
Ettin,FN_ETTIN,,,,
Centaur,FN_CENTAUR,,Centauro,Centauro,Centauro
Slaughtaur,FN_SLAUGHTAUR,,Sventrauro,Sventrauro,Masacratauro
Bishop,FN_BISHOP,,Vescovo,Vescovo,Obispo
Wendigo,FN_ICEGUY,,,,
Stalker,FN_SERPENT,,Cacciatore,Cacciatore,Acechador
Reiver,FN_WRAITH,,Incursore,Incursore,Saqueador
Death Wyvern,FN_DRAGON,,Viverna Mortale,Viverna Mortale,Guiverno de la muerte
Korax,FN_KORAX,,,,
Zedek,FN_FBOSS,,,,
Menelkir,FN_MBOSS,,,,
Traductus,FN_CBOSS,,,,
Heresiarch,FN_HERESIARCH,,Eresiarca,Eresiarca,Heresiarca
Blue Mana,AMMO_MANA1,,Mana blu,Mana blu,Maná azul
Green Mana,AMMO_MANA2,,Mana verde,Mana verde,Maná verde
Mace of Contrition,TAG_CWEAPMACE,,Mazza del Pentimento,Mazza del Pentimento,Maza de Contrición
Serpent Staff,TAG_CWEAPSTAFF,,Staffa del Serpente,Staffa del Serpente,Bastón de Serpiente
Firestorm,TAG_CWEAPFLAME,,Tempesta di Fuoco,Tempesta di Fuoco,Tormenta de Fuego
Wraithverge,TAG_CWEAPWRAITHVERGE,,Verga SconfinaSpettri,Verga SconfinaSpettri,Báculo Fantasmal
Spiked Gauntlets,TAG_FWEAPFIST,,Guantoni Spinati,Guantoni Spinati,Guanteletes Puntiagudos
Timon's Axe,TAG_FWEAPAXE,,Ascia di Timon,Ascia di Timon,Hacha de Timón
Hammer of Retribution,TAG_FWEAPHAMMER,,Martello del Castigo,Martello del Castigo,Martillo de Retribución
Quietus,TAG_FWEAPQUIETUS,,,,
Sapphire Wand,TAG_MWEAPWAND,,Scettro di Zaffiro,Scettro di Zaffiro,Varita de Zafiro
Frost Shards,TAG_MWEAPFROST,,Schegge di Ghiaccio,Schegge di Ghiaccio,Fragmentos de Escarcha
Arcs of Death,TAG_MWEAPLIGHTNING,,Archi della Morte,Archi della Morte,Arcos de la Muerte
Bloodscourge,TAG_MWEAPBLOODSCOURGE,,Flagello di Sangue,Flagello di Sangue,Plaga Sangrienta
Disc of Repulsion,TAG_ARTIBLASTRADIUS,,Disco della Repulsione,Disco della Repulsione,Disco de Repulsión
Dragonskin Bracers,TAG_ARTIBOOSTARMOR,,Bracciali in Pelle di Drago,Bracciali in Pelle di Drago,Brazaletes de piel de Dragón
Krater of Might,TAG_ARTIBOOSTMANA,,Calice della Forza,Calice della Forza,Crátera de Poder
Flechette,TAG_ARTIPOISONBAG,,Fiaschetta,Fiaschetta,
Poison Cloud Flechette,TAG_ARTIPOISONBAG1,,Fiaschetta Velenosa,Fiaschetta Velenosa,Flechette de Nube Venenosa
Timebomb Flechette,TAG_ARTIPOISONBAG2,,Fiaschetta a Tempo,Fiaschetta a Tempo,Bomba de Tiempo Flechette
Grenade Flechette,TAG_ARTIPOISONBAG3,,Fiaschetta da Lancio,Fiaschetta da Lancio,Granada Flechette
Mystic Ambit Incant,TAG_ARTIHEALINGRADIUS,,Incantamento Mistico,Incantamento Mistico,Encantamiento de Ámbito Místico
Icon of the Defender,TAG_ARTIDEFENDER,,Emblema del Difensore,Emblema del Difensore,Icono del Defensor
Porkalator,TAG_ARTIPORK,,Porchificatore,Porchificatore,Porcinador
Boots of Speed,TAG_ARTISPEED,,Stivali della Fretta,Stivali della Fretta,Botas de Velocidad
Dark Servant,TAG_ARTISUMMON,,Servo Oscuro,Servo Oscuro,Servidor Oscuro
Banishment Device,TAG_ARTITELEPORTOTHER,,Congegno dell'Esilio,Congegno dell'Esilio,Dispositivo de Destierro
Yorick's Skull,TAG_ARTIPUZZSKULL,,Teschio di Yorick,Teschio di Yorick,Calavera de Yorick
Heart of D'Sparil,TAG_ARTIPUZZGEMBIG,,Cuore di D'Sparil,Cuore di D'Sparil,Corazón de D'Sparil
Ruby Planet,TAG_ARTIPUZZGEMRED,,Pianeta di Rubino,Pianeta di Rubino,Planeta Rubí
Emerald Planet (1),TAG_ARTIPUZZGEMGREEN1,,Pianeta di Smeraldo (1),Pianeta di Smeraldo (1),Planeta Esmeralda (1)
Emerald Planet (2),TAG_ARTIPUZZGEMGREEN2,,Pianeta di Smeraldo (2),Pianeta di Smeraldo (2),Planeta Esmeralda (2)
Sapphire Planet (1),TAG_ARTIPUZZGEMBLUE1,,Pianeta di Zaffiro (1),Pianeta di Zaffiro (1),Planeta Zafiro (1)
Sapphire Planet (2),TAG_ARTIPUZZGEMBLUE2,,Pianeta di Zaffiro (2),Pianeta di Zaffiro (2),Planeta Zafiro (2)
Daemon Codex,TAG_ARTIPUZZBOOK1,,Codice Demoniaco,Codice Demoniaco,Códice del Demonio
Liber Oscura,TAG_ARTIPUZZBOOK2,,,,Liber Oscura
Flame Mask,TAG_ARTIPUZZSKULL2,,Maschera delle Fiamme,Maschera delle Fiamme,Mascara de Llamas
Glaive Seal,TAG_ARTIPUZZFWEAPON,,Sigillo del Brando,Sigillo del Brando,Sello de Espada
Holy Relic,TAG_ARTIPUZZCWEAPON,,Reliquia Sacra,Reliquia Sacra,Santa Reliquia
Sigil of the Magus,TAG_ARTIPUZZMWEAPON,,Suggello del Magus,Suggello del Magus,Emblema del Mago
Iron gear,TAG_ARTIPUZZGEAR1,,Ingranaggio di Ferro,Ingranaggio di Ferro,Engranaje de Hierro
Brass gear,TAG_ARTIPUZZGEAR2,,Ingranaggio di Ottone,Ingranaggio di Ottone,Engranaje de Bronce
Brass and iron gear,TAG_ARTIPUZZGEAR3,,Ingranaggio di Ferro e Ottone,Ingranaggio di Ferro e Ottone,Engranaje de Bronce y Hierro
Silver and brass gear,TAG_ARTIPUZZGEAR4,,Ingranaggio di Ottone e Argento,Ingranaggio di Ottone e Argento,Engranaje de Plata y Bronce
,,,,,
%o tasted an Afrit's fire.,OB_FIREDEMON,,%o ha assaggiato il fuoco di un Afrit.,%o ha assaggiato il fuoco di un Afrit.,%o ha probado el fuego de un Afrit.
%o was scalded by a Serpent.,OB_DEMON1,,%o è stato sciolto da un Serpente del Caos,%o è stato sciolto da un Serpente del Caos,A %o l@[ao_esp] ha carbonizado una Serpiente.
%o was poisoned by a Serpent.,OB_DEMON2,,%o è stato avvelenato da un Serpente del Caos.,%o è stato avvelenato da un Serpente del Caos.,A %o l@[ao_esp] ha envenenado una Serpiente.
%o was mashed by an Ettin.,OB_ETTIN,,%o è stato schiacciato da un Ettin.,%o è stato schiacciato da un Ettin.,%o ha quedado hech@[ao_esp] puré por un Ettin.
%o was cut up by a Centaur.,OB_CENTAUR,,%o è stato affettato da un Centauro.,%o è stato affettato da un Centauro.,A %o l@[ao_esp] ha partido un Centauro.
%o was cut up by a Slaughtaur.,OB_SLAUGHTAURHIT,,%o è stato affettato da uno Sventrauro.,%o è stato affettato da uno Sventrauro.,A %o l@[ao_esp] ha partido un Masacratauro.
%o was struck down by a Slaughtaur's fireball.,OB_SLAUGHTAUR,,%o è stato abbattuto dalla palla di fuoco di uno Sventrauro.,%o è stato abbattuto dalla palla di fuoco di uno Sventrauro.,A %o l@[ao_esp] ha abatido la bola de fuego de un Masacratauro.
%o succumbed to a Bishop's dark power.,OB_BISHOP,,%o è stato sottomesso dalla magia oscura di un Vescovo.,%o è stato sottomesso dalla magia oscura di un Vescovo.,%o ha sucumbido ante el poder oscuro de un Obispo.
%o was frozen solid by a Wendigo.,OB_ICEGUY,,%o è stato congelato da un Wendigo.,%o è stato congelato da un Wendigo.,A %o l@[ao_esp] ha congelado un Wendigo.
%o was mauled by a Stalker.,OB_SERPENTHIT,,%o è stato malmenato da un Cacciatore.,%o è stato malmenato da un Cacciatore.,A %o l@[ao_esp] ha triturado un Acechador.
%o was melted by a Stalker.,OB_SERPENT,,%o è stato squagliato da un Cacciatore.,%o è stato squagliato da un Cacciatore.,A %o l@[ao_esp] ha derretido un Acechador.
%o was charred by a Reiver.,OB_WRAITH,,%o è stato carbonizzato da un Incursore.,%o è stato carbonizzato da un Incursore.,A %o l@[ao_esp] ha carbonizado un Saqueador.
%o had %p life stolen by a Reiver.,OB_WRAITHHIT,,%o ha permesso che un Incursore prosciugasse la sua vita,%o ha permesso che un Incursore prosciugasse la sua vita,A %o le ha robado la vida un Saqueador.
%o was incinerated by the Death Wyvern.,OB_DRAGON,,%o è stato incenerito da una Viverna Mortale.,%o è stato incenerito da una Viverna Mortale.,A %o l@[ao_esp] ha incinerado el Guiverno de la Muerte.
%o was swept from the board by Korax.,OB_KORAX,,%o è stato eliminato dalla scacchiera da Korax.,%o è stato eliminato dalla scacchiera da Korax.,%o ha sido barrid@[ao_esp] del tablero por Korax.
%o was slain by Zedek.,OB_FBOSS,,%o è stato ammazzato da Zedek.,%o è stato ammazzato da Zedek.,A %o l@[ao_esp] ha asesinado Zedek.
%o couldn't absorb Menelkir's Mana.,OB_MBOSS,,%o non è riuscito ad assorbire il mana di Menelkir.,%o non è riuscito ad assorbire il mana di Menelkir.,%o intenta absorber el maná de Menelkir y sale mal.
%o was baptized by Traductus.,OB_CBOSS,,%o è stato battezzato da Traductus.,%o è stato battezzato da Traductus.,A %o l@[ao_esp] ha bautizado Traductus.
%o had %p bones rolled by the Heresiarch.,OB_HERESIARCH,,Le ossa di %o sono state accartocciate dall'Eresiarca.,Le ossa di %o sono state accartocciate dall'Eresiarca.,A %o le ha arrollado los huesos el Heresiarca.
%o was beaten to a pulp by %k's bare fists.,OB_MPFWEAPFIST,,%k ha ridotto %o in poltiglia a mani nude.,%k ha ridotto %o in poltiglia a mani nude.,%o ha quedado molid@[ao_esp] por los puños limpios de %k.
%o got the axe from %k.,OB_MPFWEAPAXE,,%o ha preso un colpo d'ascia da %k.,%o ha preso un colpo d'ascia da %k.,%o ha recibido el hachazo de %k.
%o had %p head caved in by %k's hammer.,OB_MPFWEAPHAMMERM,,La testa di %o è stata aperta in due dal martello di %k.,La testa di %o è stata aperta in due dal martello di %k.,A %o le ha abollado la cabeza el martillo de %k.
%o's soul was forged anew by %k's hammer.,OB_MPFWEAPHAMMERR,,L'anima di %o è stata riforgiata dal martello di %k.,L'anima di %o è stata riforgiata dal martello di %k.,El alma de %o ha sido forjada de nuevo por el martillo de %k.
%o was silenced by %k's mighty Quietus.,OB_MPFWEAPQUIETUS,,%o è stato zittito dal potente Quietus di %k.,%o è stato zittito dal potente Quietus di %k.,A %o l@[ao_esp] ha silenciado el poderoso Quietus de %k.
%o got a mace to the face from %k.,OB_MPCWEAPMACE,,%o si è preso una mazzata in faccia da %k.,%o si è preso una mazzata in faccia da %k.,%o ha recibido un mazazo en la cara por %k.
%o was bitten by %k's serpent staff.,OB_MPCWEAPSTAFFM,,%o è stato morso dalla Staffa del Serpente di %k.,%o è stato morso dalla Staffa del Serpente di %k.,A %o l@[ao_esp] ha mordido el bastón de la serpiente de %k.
%o choked on %k's serpent staff.,OB_MPCWEAPSTAFFR,,%o è soffocato a causa della Staffa del Serpente di %k.,%o è soffocato a causa della Staffa del Serpente di %k.,%o se ha ahogado con el bastón de la serpiente de %k.
%o was lit up by %k's flames.,OB_MPCWEAPFLAME,,%o è stato  illuminato dalle fiamme di %k.,%o è stato  illuminato dalle fiamme di %k.,A %o l@[ao_esp] han calcinado las llamas de %k.
%o was cleansed by %k's Wraithverge.,OB_MPCWEAPWRAITHVERGE,,%o è stato purificato dalla Verga SconfinaSpettri di %k.,%o è stato purificato dalla Verga SconfinaSpettri di %k.,A %o l@[ao_esp] ha limpiado la vara fantasmal de %k.
%o took one too many sapphire beams from %k.,OB_MPMWEAPWAND,,%o si è buscato un raggio di zaffiro di troppo da %k.,%o si è buscato un raggio di zaffiro di troppo da %k.,%o ha recibido demasiados rayos de zafiro de %k.
%o was turned into a frosty fellow by %k.,OB_MPMWEAPFROST,,%o è stato trasformato in un simpatico pupazzo di neve da %k.,%o è stato trasformato in un simpatico pupazzo di neve da %k.,%o ha sido convertid@[ao_esp] en un helado por %k.
%o received a shocking revelation from %k.,OB_MPMWEAPLIGHTNING,,"%o ha ricevuto una notizia ""elettrizzante"" da %k.","%o ha ricevuto una notizia ""elettrizzante"" da %k.",%o ha recibido una revelación impactante de %k.
%o was wiped off the face of the universe by %k's Bloodscourge.,OB_MPMWEAPBLOODSCOURGE,,%o è stato cancellato dalla faccia dell'universo dal Flagello di Sangue di %k.,%o è stato cancellato dalla faccia dell'universo dal Flagello di Sangue di %k.,%o ha sido borrad@[ao_esp] de la faz del universo por la plaga sangrienta de %k.
,,,,,
,,,,,
You picked up the Metal Armor.,TXT_METALARMOR,,Hai raccolto l'Armatura di Metallo.,Hai raccolto l'Armatura di Metallo.,Encuentras una armadura de metal.
You picked up the Leather Armor.,TXT_LEATHERARMOR,,Hai raccolto l'Armatura di Cuoio.,Hai raccolto l'Armatura di Cuoio.,Encuentras una armadura de cuero.
You picked up the Med patch.,TXT_MEDPATCH,,Hai raccolto le Bende.,Hai raccolto le Bende.,Encuentras unas tiritas.
You picked up the Medical kit.,TXT_MEDICALKIT,,Hai raccolto il Kit di Pronto Soccorso.,Hai raccolto il Kit di Pronto Soccorso.,Encuentras un botiquín.
You picked up the Surgery Kit.,TXT_SURGERYKIT,,Hai raccolto il Kit Chirurgico.,Hai raccolto il Kit Chirurgico.,Encuentras un kit quirúrgico.
You picked up the map.,TXT_STRIFEMAP,,Hai raccolto la Mappa.,Hai raccolto la Mappa.,Encuentras el mapa.
You picked up the ring.,TXT_BELDINSRING,,Hai raccolto l'Anello.,Hai raccolto l'Anello.,Tienes el anillo.
You picked up the Offering Chalice.,TXT_OFFERINGCHALICE,,Hai raccolto il Calice delle Offerte.,Hai raccolto il Calice delle Offerte.,Encuentras un cáliz de ofrenda.
You picked up the ear.,TXT_EAR,,Hai raccolto l'Orecchio.,Hai raccolto l'Orecchio.,Tienes la oreja.
You picked up the broken power coupling.,TXT_BROKENCOUPLING,,Hai raccolto la Coppia Energetica Rotta.,Hai raccolto la Coppia Energetica Rotta.,Tienes el acoplador de energía roto.
You picked up the Shadow armor.,TXT_SHADOWARMOR,,Hai raccolto l'Armatura Ombra.,Hai raccolto l'Armatura Ombra.,Encuentras una armadura de sombra.
You picked up the Environmental Suit.,TXT_ENVSUIT,,Hai raccolto la Tuta Ambientale.,Hai raccolto la Tuta Ambientale.,Encuentras un traje NBQ.
You picked up the Guard Uniform.,TXT_GUARDUNIFORM,,Hai raccolto l'Uniforme da Guardia.,Hai raccolto l'Uniforme da Guardia.,Tienes el uniforme de un guardia.
You picked up the Officer's Uniform.,TXT_OFFICERSUNIFORM,,Hai raccolto l'Uniforme da Ufficiale.,Hai raccolto l'Uniforme da Ufficiale.,Encuentras un uniforme de oficial.
You picked up the flame thrower parts.,TXT_FTHROWERPARTS,,Hai raccolto delle parti di Lanciafiamme.,Hai raccolto delle parti di Lanciafiamme.,Tienes las partes de un lanzallamas.
You picked up the report.,TXT_REPORT,,Hai raccolto il rapporto.,Hai raccolto il rapporto.,Tienes el reporte.
You picked up the info.,TXT_INFO,,Hai raccolto delle Informazioni.,Hai raccolto delle Informazioni.,Tienes la información.
You picked up the Targeter.,TXT_TARGETER,,Hai raccolto il Puntatore.,Hai raccolto il Puntatore.,Encuentras una mira de arma.
You picked up the Communicator.,TXT_COMMUNICATOR,,Hai raccolto il Comunicatore.,Hai raccolto il Comunicatore.,Encuentras un intercomunicador.
You picked up the coin.,TXT_COIN,,Hai raccolto la Moneta.,Hai raccolto la Moneta.,Encuentras una moneda.
You picked up %d gold.,TXT_XGOLD,,Hai raccolto %d pezzi d'oro.,Hai raccolto %d pezzi d'oro.,Encuentras %d monedas de oro.
You picked up the Teleporter Beacon.,TXT_BEACON,,Hai raccolto il Radiofaro per Teletrasporto.,Hai raccolto il Radiofaro per Teletrasporto.,Encuentras una baliza de teletransporte.
You picked up the Degnin Ore.,TXT_DEGNINORE,,Hai raccolto il Minerale Degnin.,Hai raccolto il Minerale Degnin.,Encuentras mineral de Degnin.
You picked up the scanner.,TXT_SCANNER,,Hai raccolto lo Scanner.,Hai raccolto lo Scanner.,Encuentras un escáner.
"The scanner won't work without a map!
",TXT_NEEDMAP,,Lo scanner non può funzionare senza una mappa!,Lo scanner non può funzionare senza una mappa!,¡El escáner no funciona sin un mapa!
You picked up the Prison pass.,TXT_PRISONPASS,,Hai raccolto il lasciapassare per la Prigione.,Hai raccolto il lasciapassare per la Prigione.,Tienes el pase a la prisión.
You picked up the crossbow.,TXT_STRIFECROSSBOW,,Hai raccolto la Balestra.,Hai raccolto la Balestra.,Encuentras una ballesta.
You picked up the assault gun.,TXT_ASSAULTGUN,,Hai raccolto il fucile d'assalto.,Hai raccolto il fucile d'assalto.,Encuentras un fusil de asalto.
You picked up the mini missile launcher.,TXT_MMLAUNCHER,,Hai raccolto il Mini-Lanciamissili.,Hai raccolto il Mini-Lanciamissili.,Encuentras un minilanzamisiles.
You picked up the flame thrower.,TXT_FLAMER,,Hai raccolto il Lanciafiamme.,Hai raccolto il Lanciafiamme.,Encuentras un lanzallamas.
You picked up the mauler.,TXT_MAULER,,Hai raccolto il Pestatore.,Hai raccolto il Pestatore.,Encuentras un triturador.
You picked up the Grenade launcher.,TXT_GLAUNCHER,,Hai raccolto il Lanciagranate.,Hai raccolto il Lanciagranate.,Encuentras un lanzagranadas.
You picked up the SIGIL.,TXT_SIGIL,,Hai raccolto il SIGILLO.,Hai raccolto il SIGILLO.,Encuentras el EMBLEMA.
You picked up the Base Key.,TXT_BASEKEY,,Hai raccolto la chiave della Base.,Hai raccolto la chiave della Base.,Tienes la llave de la base.
You picked up the Govs Key.,TXT_GOVSKEY,,Hai raccolto la chiave del Governatore.,Hai raccolto la chiave del Governatore.,Tienes la llave del Gobernador.
You picked up the Passcard.,TXT_PASSCARD,,Hai raccolto la Tessera Lasciapassare.,Hai raccolto la Tessera Lasciapassare.,Tienes la llave de la central eléctrica.
You picked up the ID Badge.,TXT_IDBADGE,,Hai raccolto il Distintivo.,Hai raccolto il Distintivo.,Tienes la insignia de la prisión.
You picked up the Prison Key.,TXT_PRISONKEY,,Hai raccolto la chiave della Prigione.,Hai raccolto la chiave della Prigione.,Tienes la llave de la prisión.
You picked up the Severed Hand.,TXT_SEVEREDHAND,,Hai raccolto la Mano Mozzata.,Hai raccolto la Mano Mozzata.,Tienes una mano amputada.
You picked up the Power1 Key.,TXT_POWER1KEY,,Hai raccolto la chiave della Centrale n.1,Hai raccolto la chiave della Centrale n.1,Tienes una identificación nivel uno de la central.
You picked up the Power2 Key.,TXT_POWER2KEY,,Hai raccolto la chiave della Centrale n.2,Hai raccolto la chiave della Centrale n.2,Tienes una identificación nivel dos de la central.
You picked up the Power3 Key.,TXT_POWER3KEY,,Hai raccolto la chiave della Centrale n.3,Hai raccolto la chiave della Centrale n.3,Tienes una identificación nivel tres de la central.
You picked up the Gold Key.,TXT_GOLDKEY,,Hai raccolto la chiave dorata,Hai raccolto la chiave dorata,Tienes una llave dorada.
You picked up the ID Card.,TXT_IDCARD,,Hai raccolto la Tessera di Identificazione.,Hai raccolto la Tessera di Identificazione.,Tienes una identificación de las clocacas.
You picked up the Silver Key.,TXT_SILVERKEY,,Hai raccolto la chiave argentata,Hai raccolto la chiave argentata,Tienes una llave plateada.
You picked up the Oracle Key.,TXT_ORACLEKEY,,Hai raccolto la chiave dell'Oracolo.,Hai raccolto la chiave dell'Oracolo.,Tienes una llave del Oráculo.
You picked up the Military ID.,TXT_MILITARYID,,Hai raccolto l'Identificativo Militare.,Hai raccolto l'Identificativo Militare.,Tienes una identificación militar.
You picked up the Order Key.,TXT_ORDERKEY,,Hai raccolto la chiave dell'Ordine.,Hai raccolto la chiave dell'Ordine.,Tienes la llave de La Orden.
You picked up the Warehouse Key.,TXT_WAREHOUSEKEY,,Hai raccolto la chiave del Magazzino.,Hai raccolto la chiave del Magazzino.,Tienes la llave del almacén.
You picked up the Brass Key.,TXT_BRASSKEY,,Hai raccolto la chiave d'Ottone.,Hai raccolto la chiave d'Ottone.,Tienes la llave de latón.
You picked up the Red Crystal Key.,TXT_REDCRYSTAL,,Hai raccolto la chiave del Cristallo Rosso.,Hai raccolto la chiave del Cristallo Rosso.,Encuentras la llave de cristal rojo.
